名前,父,父父,父母,母,母父,母母,ウマ娘順,サイゲURL,wikiURL
Our_Page,Blue_Larkspur,Black_Servant,Blossom_Time,Occult,Dis_Donc,Bonnie_Witch,,,https://ja.wikipedia.org/wiki/Our_Page
Northern_Dancer,Nearctic,Nearco,Lady_Angela,Natalma,Native_Dancer,Almahmoud,,,https://ja.wikipedia.org/wiki/%E3%83%8E%E3%83%BC%E3%82%B6%E3%83%B3%E3%83%80%E3%83%B3%E3%82%B5%E3%83%BC
Nearco,Pharos,Phalaris,Scapa_Flow,Nogara,Havresac,Catnip,,,https://ja.wikipedia.org/wiki/%E3%83%8D%E3%82%A2%E3%83%AB%E3%82%B3
Phalaris,Polymelus,Cyllene,Maid_Marian,Bromus,Sainfoin,Cheery,,,https://ja.wikipedia.org/wiki/%E3%83%95%E3%82%A1%E3%83%A9%E3%83%AA%E3%82%B9_(%E7%AB%B6%E8%B5%B0%E9%A6%AC)
Cyllene,Bona_Vista,Bend_Or,Vista,Arcadia,Isonomy,Distant_Shore,,,https://ja.wikipedia.org/wiki/%E3%82%B5%E3%82%A4%E3%83%AA%E3%83%BC%E3%83%B3_(%E7%AB%B6%E8%B5%B0%E9%A6%AC)
Bend_Or,Doncaster,Stockwell,Marigold,Rouge_Rose,Thormanby,Ellen_Horne,,,https://ja.wikipedia.org/wiki/%E3%83%99%E3%83%B3%E3%83%89%E3%82%A2
Stockwell,The_Baron,Birdcatcher,Echidna,Pocahontas,Glencoe,Marpessa,,,https://ja.wikipedia.org/wiki/%E3%82%B9%E3%83%88%E3%83%83%E3%82%AF%E3%82%A6%E3%82%A7%E3%83%AB_(%E7%AB%B6%E8%B5%B0%E9%A6%AC)
Birdcatcher,Sir_Hercules,Whalebone,Peri,Guiccioli,Bob_Booty,Flight,,,https://ja.wikipedia.org/wiki/%E3%83%90%E3%83%BC%E3%83%89%E3%82%AD%E3%83%A3%E3%83%83%E3%83%81%E3%83%A3%E3%83%BC
Whalebone,Waxy,Pot-8-Os,Maria_III,Penelope,Trumpator,Prunella,,,https://ja.wikipedia.org/wiki/%E3%83%9B%E3%82%A8%E3%83%BC%E3%83%AB%E3%83%9C%E3%83%BC%E3%83%B3
サンデーサイレンス,Halo,Hail_to_Reason,Cosmah,Wishing_Well,Understanding,Mountain_Flower,,,https://ja.wikipedia.org/wiki/サンデーサイレンス
Hail_to_Reason,Turn-to,Royal_Charger,Source_Sucree,Nothirdchance,Blue_Swords,Galla_Colors,,,https://ja.wikipedia.org/wiki/%E3%83%98%E3%82%A4%E3%83%AB%E3%83%88%E3%82%A5%E3%83%AA%E3%83%BC%E3%82%BA%E3%83%B3
Royal_Charger,Nearco,Pharos,Nogara,Sun_Princess,Solario,Mumtaz_Begum,,,https://ja.wikipedia.org/wiki/%E3%83%AD%E3%82%A4%E3%83%A4%E3%83%AB%E3%83%81%E3%83%A3%E3%83%BC%E3%82%B8%E3%83%A3%E3%83%BC
Pharos,Phalaris,Polymelus,Bromus,Scapa_Flow,Chaucer,Anchora,,,https://ja.wikipedia.org/wiki/%E3%83%95%E3%82%A1%E3%83%AD%E3%82%B9_(%E7%AB%B6%E8%B5%B0%E9%A6%AC)
Polymelus,Cyllene,Bona_Vista,Arcadia,Maid_Marian,Hampton,Quiver,,,https://ja.wikipedia.org/wiki/%E3%83%9D%E3%83%AA%E3%83%A1%E3%83%A9%E3%82%B9
Bona_Vista,Bend_Or,Doncaster,Rouge_Rose,Vista,Macaroni,Verdure,,,https://ja.wikipedia.org/wiki/%E3%83%9C%E3%83%8A%E3%83%B4%E3%82%A3%E3%82%B9%E3%82%BF
Doncaster,Stockwell,The_Baron,Pocahontas,Marigold,Teddington,Ratan_Mare,,,https://ja.wikipedia.org/wiki/%E3%83%89%E3%83%B3%E3%82%AB%E3%82%B9%E3%82%BF%E3%83%BC_(%E7%AB%B6%E8%B5%B0%E9%A6%AC)
The_Baron,Birdcatcher,Sir_Hercules,Guiccioli,Echidna,Economist,Miss_Pratt,,,https://ja.wikipedia.org/wiki/%E3%82%B6%E3%83%90%E3%83%AD%E3%83%B3
Sir_Hercules,Whalebone,Waxy,Penelope,Peri,Wanderer,Thalestris,,,https://ja.wikipedia.org/wiki/Sir_Hercules
Waxy,Pot-8-Os,Eclipse,Sportsmistress,Maria_III,Herod,Lisette,,,https://ja.wikipedia.org/wiki/Waxy
Eclipse,Marske,Squirt,Hutton's_Blacklegs_Mare,Spilletta,Regulus,Mother_Western,,,https://ja.wikipedia.org/wiki/%E3%82%A8%E3%82%AF%E3%83%AA%E3%83%97%E3%82%B9_(%E7%AB%B6%E8%B5%B0%E9%A6%AC)
Squirt,Bartlet's_Childers,ダーレーアラビアン,Betty_Leedes,Snake_Mare,Snake,Grey_Wilkes,,,https://ja.wikipedia.org/wiki/%E3%82%B9%E3%82%AF%E3%83%AF%E3%83%BC%E3%83%88_(%E7%AB%B6%E8%B5%B0%E9%A6%AC)
メジロアサマ,パーソロン,Milesian,Paleo,スヰート,First_Fiddle,Blue_Eyed_Momo,,,https://ja.wikipedia.org/wiki/%E3%82%B5%E3%83%BC%E3%83%8F%E3%83%BC%E3%82%AD%E3%83%A5%E3%83%AA%E3%83%BC%E3%82%BA
Halo,Hail_to_Reason,Turn-to,Nothirdchance,Cosmah,Cosmic_Bomb,Almahmoud,,,https://ja.wikipedia.org/wiki/%E3%83%98%E3%82%A4%E3%83%AD%E3%83%BC_(%E7%AB%B6%E8%B5%B0%E9%A6%AC)
Turn-to,Royal_Charger,Nearco,Sun_Princess,Source_Sucree,Admiral_Drake,Lavendula,,,https://ja.wikipedia.org/wiki/%E3%82%BF%E3%83%BC%E3%83%B3%E3%83%88%E3%82%A5
Pot-8-Os,Eclipse,Marske,Spilletta,Sportsmistress,Sportsman,Golden_Locks,,,https://ja.wikipedia.org/wiki/%E3%83%9D%E3%83%86%E3%82%A4%E3%83%88%E3%83%BC%E3%82%BA
Marske,Squirt,Bartlet's_Childers,Snake_Mare,Hutton's_Blacklegs_Mare,Hutton's_Blacklegs,Bay_Bolton_Mare,,,https://ja.wikipedia.org/wiki/%E3%83%9E%E3%83%BC%E3%82%B9%E3%82%AF
Snake_Mare,Snake,Lister_Turk,Hautboy_Mare,Grey_Wilkes,Hautboy,Miss_Darcys_Pet_Mare,,,https://ja.wikipedia.org/wiki/Snake_Mare
Bartlet's_Childers,ダーレーアラビアン,,,Betty_Leedes,,,,,https://ja.wikipedia.org/wiki/%E3%83%90%E3%83%BC%E3%83%88%E3%83%AC%E3%83%83%E3%83%88%E3%83%81%E3%83%AB%E3%83%80%E3%83%BC%E3%82%BA
ブライアンズタイム,Roberto,Hail_to_Reason,Bramalea,Kelley's_Day,Graustark,Golden_Trail,,,https://ja.wikipedia.org/wiki/%E3%83%96%E3%83%A9%E3%82%A4%E3%82%A2%E3%83%B3%E3%82%BA%E3%82%BF%E3%82%A4%E3%83%A0
Caro,フォルティノ,Grey_Sovereign,Ranavalo,Chambord,Chamossaire,Life_Hill,,,https://ja.wikipedia.org/wiki/%E3%82%AB%E3%83%AD_(%E7%AB%B6%E8%B5%B0%E9%A6%AC)
Grey_Sovereign,Nasrullah,Nearco,Mumtaz_Begum,Kong,Baytown,Clang,,,https://ja.wikipedia.org/wiki/%E3%82%B0%E3%83%AC%E3%82%A4%E3%82%BD%E3%83%B4%E3%83%AA%E3%83%B3
Herbager,Vandale,Plassy,Vanille,Flagette,Escamillo,Fidgette,,,https://ja.wikipedia.org/wiki/%E3%82%A8%E3%83%AB%E3%83%90%E3%82%B8%E3%82%A7_(%E7%AB%B6%E8%B5%B0%E9%A6%AC)
Plassy,Bosworth,Son-in-Law,Serenissima,Pladda,Phalaris,Rothesay_Bay,,,https://ja.wikipedia.org/wiki/Plassy
Son-in-Law,Dark_Ronald,Bay_Ronald,Darkie,Mother_in_Law,Matchmaker,Be_Cannie,,,https://ja.wikipedia.org/wiki/%E3%82%B5%E3%83%B3%E3%82%A4%E3%83%B3%E3%83%AD%E3%83%BC
Bay_Ronald,Hampton,Lord_Clifden,Lady_Langden,Black_Duchess,Galliard,Black_Corrie,,,https://ja.wikipedia.org/wiki/%E3%83%99%E3%82%A4%E3%83%AD%E3%83%8A%E3%83%AB%E3%83%89
Lord_Clifden,Newminster,Touchstone,Beeswing,The_Slave,Melbourne,Volley,,,https://ja.wikipedia.org/wiki/%E3%83%AD%E3%83%BC%E3%83%89%E3%82%AF%E3%83%AA%E3%83%95%E3%83%87%E3%83%B3
Touchstone,Camel,Whalebone,Selim_Mare,Banter,Master_Henry,Boadicea,,,https://ja.wikipedia.org/wiki/%E3%82%BF%E3%83%83%E3%83%81%E3%82%B9%E3%83%88%E3%83%B3
Mill_Reef,Never_Bend,Nasrullah,Lalun,Milan_Mill,Princequillo,Virginia_Water,,,https://ja.wikipedia.org/wiki/%E3%83%9F%E3%83%AB%E3%83%AA%E3%83%BC%E3%83%95
Nasrullah,Nearco,Pharos,Nogara,Mumtaz_Begum,Blenheim,Mumtaz_Mahal,,,https://ja.wikipedia.org/wiki/%E3%83%8A%E3%82%B9%E3%83%AB%E3%83%BC%E3%83%A9
パーソロン,Milesian,My_Babu,Oatflake,Paleo,Pharis,Calonice,,,https://ja.wikipedia.org/wiki/パーソロン
My_Babu,Djebel,Tourbillon,Loika,Perfume,Badruddin,Lavendula,,,https://ja.wikipedia.org/wiki/%E3%83%9E%E3%82%A4%E3%83%90%E3%83%96%E3%83%BC
Tourbillon,Ksar,Bruleur,Kizil_Kourgan,Durban,Durbar,Banshee,,,https://ja.wikipedia.org/wiki/%E3%83%88%E3%82%A6%E3%83%AB%E3%83%93%E3%83%A8%E3%83%B3_(%E7%AB%B6%E8%B5%B0%E9%A6%AC)
Bruleur,Chouberski,Gardefeu,Campanule,Basse_Terre,Omnium,Bijou,,,https://ja.wikipedia.org/wiki/Bruleur
Gardefeu,Cambyse,Androcles,Cambuse,Bougie,Bruce,La_Lumiere,,,https://ja.wikipedia.org/wiki/Gardefeu
Androcles,Dollar,The_Flying_Dutchman,Payment,Alabama,Serious,Admiralty,,,https://ja.wikipedia.org/wiki/Androcles
The_Flying_Dutchman,Bay_Middleton,Sultan,Cobweb,Barbelle,Sandbeck,Darioletta,,,https://ja.wikipedia.org/wiki/%E3%82%B6%E3%83%95%E3%83%A9%E3%82%A4%E3%83%B3%E3%82%B0%E3%83%80%E3%83%83%E3%83%81%E3%83%9E%E3%83%B3
Sultan,Selim,Buzzard,Alexander_Mare,Bacchante,Williamson's_Ditto,Mercury_Mare,,,https://ja.wikipedia.org/wiki/%E3%82%B5%E3%83%AB%E3%82%BF%E3%83%B3_(%E7%AB%B6%E8%B5%B0%E9%A6%AC)
Buzzard,Woodpecker,Herod,Miss_Ramsden,Misfortune,Dux,Curiosity,,,https://ja.wikipedia.org/wiki/%E3%83%90%E3%82%B6%E3%83%BC%E3%83%89
Herod,Tartar,Croft's_Partner,Meliora,Cypron,Blaze,Salome,,,https://ja.wikipedia.org/wiki/%E3%83%98%E3%83%AD%E3%83%89_(%E7%AB%B6%E8%B5%B0%E9%A6%AC)
Croft's_Partner,Jigg,バイアリーターク,Spanker_Mare,Sister_One_to_Mixbury,Curwen_Bay_Barb,Curwen_Spot_Mare,,,https://ja.wikipedia.org/wiki/%E3%83%91%E3%83%BC%E3%83%88%E3%83%8A%E3%83%BC_(%E7%AB%B6%E8%B5%B0%E9%A6%AC)
Known_Fact,In_Reality,Intentionally,My_Dear_Girl,Tamerett,Tim_Tam,Mixed_Marriage,,,https://ja.wikipedia.org/wiki/%E3%83%8E%E3%82%A6%E3%83%B3%E3%83%95%E3%82%A1%E3%82%AF%E3%83%88
Intentionally,Intent,War_Relic,Liz_F.,My_Recipe,Discovery,Perlette,,,https://ja.wikipedia.org/wiki/%E3%82%A4%E3%83%B3%E3%83%86%E3%83%B3%E3%82%B7%E3%83%A7%E3%83%8A%E3%83%AA%E3%83%BC
War_Relic,Man_o'War,Fair_Play,Mahubah,Friar's_Carse,Friar_Rock,Problem,,,https://ja.wikipedia.org/wiki/%E3%82%A6%E3%82%A9%E3%83%BC%E3%83%AC%E3%83%AA%E3%83%83%E3%82%AF
Fair_Play,Hastings,Spendthrift,Cinderella,Fairy_Gold,Bend_Or,Dame_Masham,,,https://ja.wikipedia.org/wiki/%E3%83%95%E3%82%A7%E3%82%A2%E3%83%97%E3%83%AC%E3%82%A4_(%E7%AB%B6%E8%B5%B0%E9%A6%AC)
Spendthrift,Australian,West_Australian,Emilia,Aerolite,Lexington,Florine,,,https://ja.wikipedia.org/wiki/%E3%82%B9%E3%83%9A%E3%83%B3%E3%83%89%E3%82%B9%E3%83%AA%E3%83%95%E3%83%88
West_Australian,Melbourne,Humphrey_Clinker,Cervantes_Mare,Mowerina,Touchstone,Emma,,,https://ja.wikipedia.org/wiki/%E3%82%A6%E3%82%A7%E3%82%B9%E3%83%88%E3%82%AA%E3%83%BC%E3%82%B9%E3%83%88%E3%83%A9%E3%83%AA%E3%82%A2%E3%83%B3_(%E7%AB%B6%E8%B5%B0%E9%A6%AC)
Humphrey_Clinker,Comus,Sorcerer,Houghton_Lass,Clinkerina,Clinker,Pewet,,,https://ja.wikipedia.org/wiki/Humphrey_Clinker
Sorcerer,Trumpator,Conductor,Brunette,Young_Giantess,Diomed,Giantess,,,https://ja.wikipedia.org/wiki/%E3%82%BD%E3%83%BC%E3%82%B5%E3%83%A9%E3%83%BC_(%E7%AB%B6%E8%B5%B0%E9%A6%AC)
Conductor,Matchem,Cade,Partner_Mare,Snap_Mare,Snap,Diana,,,https://ja.wikipedia.org/wiki/%E3%82%B3%E3%83%B3%E3%83%80%E3%82%AF%E3%82%BF%E3%83%BC_(%E7%AB%B6%E8%B5%B0%E9%A6%AC)
Cade,ゴドルフィンバルブ,,,Roxana,,,,,https://ja.wikipedia.org/wiki/%E3%82%B1%E3%83%BC%E3%83%89
Nureyev,Northern_Dancer,Nearctic,Natalma,Special,Forli,Thong,,,https://ja.wikipedia.org/wiki/%E3%83%8C%E3%83%AC%E3%82%A4%E3%82%A8%E3%83%95
Green_Dancer,Nijinsky,Northern_Dancer,Flaming_Page,Green_Valley,Val_de_Loir,Sly_Pola,,,https://ja.wikipedia.org/wiki/%E3%82%B0%E3%83%AA%E3%83%BC%E3%83%B3%E3%83%80%E3%83%B3%E3%82%B5%E3%83%BC
Topsider,Northern_Dancer,Nearctic,Natalma,Drumtop,Round_Table,Zonah,,,https://ja.wikipedia.org/wiki/Topsider
Riverman,Never_Bend,Nasrullah,Lalun,River_Lady,Prince_John,Nile_Lily,,,https://ja.wikipedia.org/wiki/%E3%83%AA%E3%83%B4%E3%82%A1%E3%83%BC%E3%83%9E%E3%83%B3
リィフォー,Lyphard,Northern_Dancer,Goofed,Klaizia,Sing_Sing,Klainia,,,https://ja.wikipedia.org/wiki/リィフォー
Grey_Dawn,Herbager,Vandale,Flagette,Polamia,Mahmoud,Ampola,,,https://ja.wikipedia.org/wiki/Grey_Dawn
Vandale,Plassy,Bosworth,Pladda,Vanille,La_Farina,Vaya,,,https://ja.wikipedia.org/wiki/Vandale
King's_Troop,Princely_Gift,Nasrullah,Blue_Gem,Equiria,Atout_Maitre,Epona,,,https://ja.wikipedia.org/wiki/King's_Troop
ポツセ,Forli,Aristophanes,Trevisa,In_Hot_Pursuit,Bold_Ruler,Lady_Be_Good,,,https://ja.wikipedia.org/wiki/ポツセ
Aristophanes,Hyperion,Gainsborough,Selene,Commotion,Mieuxce,Riot,,,https://ja.wikipedia.org/wiki/Aristophanes
Gainsborough,Bayardo,Bay_Ronald,Galicia,Rosedrop,St._Frusquin,Rosaline,,,https://ja.wikipedia.org/wiki/Gainsborough
Mr._Prospector,Raise_a_Native,Native_Dancer,Raise_You,Gold_Digger,Nashua,Sequence,,,https://ja.wikipedia.org/wiki/Mr._Prospector
Native_Dancer,Polynesian,Unbreakable,Black_Polly,Geisha,Discovery,Miyako,,,https://ja.wikipedia.org/wiki/Native_Dancer
Unbreakable,Sickle,Phalaris,Selene,Blue_Glass,Prince_Palatine,Hour_Glass,,,https://ja.wikipedia.org/wiki/Unbreakable
Sadler's_Wells,Northern_Dancer,Nearctic,Natalma,Fairy_Bridge,Bold_Reason,Special,,,https://ja.wikipedia.org/wiki/Sadler's_Wells
カンパラ,Kalamoun,ゼダーン,Khairunissa,State_Pension,オンリーフォアライフ,Lorelei,,,https://ja.wikipedia.org/wiki/カンパラ
ゼダーン,Grey_Sovereign,Nasrullah,Kong,Vareta,Vilmorin,Veronique,,,https://ja.wikipedia.org/wiki/ゼダーン
テスコボーイ,Princely_Gift,Nasrullah,Blue_Gem,Suncourt,Hyperion,Inquisition,,,https://ja.wikipedia.org/wiki/テスコボーイ
フレンチデピュティ,Deputy_Minister,Vice_Regent,Mint_Copy,Mitterand,Hold_Your_Peace,Laredo_Lass,,,https://ja.wikipedia.org/wiki/フレンチデピュティ
フォーティナイナー,Mr._Prospector,Raise_a_Native,Gold_Digger,File,Tom_Rolfe,ConTinue,,,https://ja.wikipedia.org/wiki/フォーティナイナー
Majestic_Prince,Raise_a_Native,Native_Dancer,Raise_You,Gay_Hostess,Royal_Charger,Your_Hostess,,,https://ja.wikipedia.org/wiki/Majestic_Prince
Vice_Regent,Northern_Dancer,Nearctic,Natalma,Victoria_Regina,Menetrier,Victoriana,,,https://ja.wikipedia.org/wiki/Vice_Regent
Blushing_Groom,Red_God,Nasrullah,Spring_Run,Runaway_Bride,Wild_Risk,Aimee,,,https://ja.wikipedia.org/wiki/Blushing_Groom
ラストタイクーン,トライマイベスト,Northern_Dancer,Sex_Appeal,Mill_Princess,Mill_Reef,Irish_Lass,,,https://ja.wikipedia.org/wiki/ラストタイクーン
Sanctus,Fine_Top,Fine_Art,TOUPIE,Sanelta,Tourment,Satanella,,,https://ja.wikipedia.org/wiki/Sanctus
Fine_Art,Artist's_Proof,Gainsborough,Clear_Evidence,Finnoise,Finglas,Unfortunate,,,https://ja.wikipedia.org/wiki/Fine_Art
メジロサンマン,Charlottesville,Prince_Chevalier,Noorani,パラデイシア,Aureole,Chenille,,,https://ja.wikipedia.org/wiki/メジロサンマン
Prince_Chevalier,Prince_Rose,Rose_Prince,Indolence,Chevalerie,Abbot's_Speed,Kassala,,,https://ja.wikipedia.org/wiki/Prince_Chevalier
Rose_Prince,Prince_Palatine,Persimmon,Lady_Lightfoot,Eglantine,Perth,Rose_de_Mai,,,https://ja.wikipedia.org/wiki/Rose_Prince
Persimmon,St._Simon,Galopin,St._Angela,Perdita,Hampton,Hermione,,,https://ja.wikipedia.org/wiki/Persimmon
Galopin,Vedette,Voltigeur,Mrs._Ridgway,Flying_Duchess,The_Flying_Dutchman,Merope,,,https://ja.wikipedia.org/wiki/Galopin
Voltigeur,Voltaire,Blacklock,Phantom_Mare,Martha_Lynn,Mulatto,Leda,,,https://ja.wikipedia.org/wiki/Voltigeur
Blacklock,Whitelock,Hambletonian,Rosalind,Coriander_Mare,Coriander,Wildgoose,,,https://ja.wikipedia.org/wiki/Blacklock
Hambletonian,King_Fergus,Eclipse,Polly,Grey_Highflyer,Highflyer,Monimia,,,https://ja.wikipedia.org/wiki/Hambletonian
ダンディルート,Luthier,Klairon,Flute_Enchantee,Dentrelic,Prudent,Relict,,,https://ja.wikipedia.org/wiki/ダンディルート
Klairon,Clarion,Djebel,Columba,Kalmia,Kantar,Sweet_Lavender,,,https://ja.wikipedia.org/wiki/Klairon
スティールハート,Habitat,Sir_Gaylord,Little_Hut,A._1.,Abernant,Asti_Spumante,,,https://ja.wikipedia.org/wiki/スティールハート
Sir_Gaylord,Turn-to,Royal_Charger,Source_Sucree,Somethingroyal,Princequillo,Imperatrice,,,https://ja.wikipedia.org/wiki/Sir_Gaylord
Cozzene,Caro,フォルティノ,Chambord,Ride_the_Trails,Prince_John,Wildwook,,,https://ja.wikipedia.org/wiki/Cozzene
Summer_Squall,Storm_Bird,Northern_Dancer,South_Ocean,Weekend_Surprise,Secretariat,Lassie_Dear,,,https://ja.wikipedia.org/wiki/Summer_Squall
Pleasant_Colony,His_Majesty,Ribot,Flower_Bowl,Sun_Colony,Sunrise_Flight,Colonia,,,https://ja.wikipedia.org/wiki/Pleasant_Colony
Ribot,Tenerani,Bellini,Tofanella,Romanella,El_Greco,Barbara_Burrini,,,https://ja.wikipedia.org/wiki/Ribot
Bellini,Cavaliere_d'Arpino,Havresac,Chuette,Bella_Minna,Bachelor's_Double,Santa_Minna,,,https://ja.wikipedia.org/wiki/Bellini
Havresac,Rabelais,St._Simon,Satirical,Hors_Concours,Ajax,Simona,,,https://ja.wikipedia.org/wiki/Havresac
Wild_Again,Icecapade,Nearctic,Shenanigans,Bushel-n-Peck,Khaled,Dama,,,https://ja.wikipedia.org/wiki/Wild_Again
Dansili,デインヒル,Danzig,Razyana,Hasili,Kahyasi,Kerali,,,https://ja.wikipedia.org/wiki/Dansili
トキノミノル,セフト,Tetratema,Voleuse,第弐タイランツクヰーン,Soldennis,タイランツクヰーン,,,https://ja.wikipedia.org/wiki/トキノミノル
Tetratema,The_Tetrarch,Roi_Herode,Vahren,Scotch_Gift,Symington,Maund,,,https://ja.wikipedia.org/wiki/Tetratema
Roi_Herode,Le_Samaritain,Le_Sancy,Clementina,Roxelane,War_Dance,Rose_of_York,,,https://ja.wikipedia.org/wiki/Roi_Herode
Le_Sancy,Atlantic,Thormanby,Hurricane,Gem_of_Gems,Strathconan,Poinsettia,,,https://ja.wikipedia.org/wiki/Le_Sancy
Thormanby,Windhound,Pantaloon,Phryne,Alice_Hawthorn,Muley_Moloch,Rebecca,,,https://ja.wikipedia.org/wiki/Thormanby
Pantaloon,Castrel,Buzzard,Alexander_Mare,Idalia,Peruvian,Musidora,,,https://ja.wikipedia.org/wiki/Pantaloon
Regulus,ゴドルフィンバルブ,,,Grey_Robinson,Bald_Galloway,Snake_Mare,,,
